Date,Open,High,Low,Close,Adj Close,Volume
17/06/2011,2057.46,2058.67,2008.84,2031.93,2031.93,282400
20/06/2011,2034.35,2047.12,2017.52,2019.65,2019.65,229200
21/06/2011,2041.15,2051.19,2015.86,2048.17,2048.17,278600
22/06/2011,2066.91,2074.46,2059.36,2063.9,2063.9,263800
23/06/2011,2048.06,2064.96,2048.06,2055.86,2055.86,259600
24/06/2011,2063.92,2090.82,2062.26,2090.81,2090.81,294200
27/06/2011,2076.01,2076.94,2058.4,2070.29,2070.29,246600
28/06/2011,2092.94,2099.94,2062.91,2062.91,2062.91,328600
29/06/2011,2097.87,2098.95,2081.71,2094.42,2094.42,256200
30/06/2011,2103.59,2105.47,2091.09,2100.69,2100.69,257200
01/07/2011,2120.03,2131.67,2116.68,2125.74,2125.74,273400
04/07/2011,2143.24,2153.29,2141.98,2145.3,2145.3,290400
05/07/2011,2149.4,2163.37,2145.87,2161.75,2161.75,284800
06/07/2011,2156.94,2171.19,2155.33,2171.19,2171.19,276000
07/07/2011,2167.18,2184.94,2165.15,2180.59,2180.59,355600
08/07/2011,2192.83,2192.83,2173.96,2180.35,2180.35,323000
11/07/2011,2167.94,2171.29,2151.84,2157.16,2157.16,240600
12/07/2011,2131.07,2136.98,2107.95,2109.73,2109.73,286400
13/07/2011,2117.12,2129.64,2107.63,2129.64,2129.64,306000
14/07/2011,2119.06,2130.08,2105.24,2130.07,2130.07,307400
15/07/2011,2123.57,2145.2,2123,2145.2,2145.2,272200
18/07/2011,2149.97,2149.97,2121.73,2130.48,2130.48,329000
19/07/2011,2127.13,2140.44,2123.43,2130.21,2130.21,303400
20/07/2011,2158.88,2164.22,2149.25,2154.95,2154.95,374000
21/07/2011,2153.94,2155.49,2135.66,2145.04,2145.04,362400
22/07/2011,2162,2171.24,2153.49,2171.23,2171.23,413000
25/07/2011,2154,2158.35,2146.99,2150.48,2150.48,342000
26/07/2011,2163.08,2168.7,2148.22,2168.7,2168.7,330200
27/07/2011,2152.66,2174.73,2151.84,2174.31,2174.31,297000
28/07/2011,2138.61,2160.44,2138.61,2155.85,2155.85,299600
29/07/2011,2159.27,2159.27,2133.21,2133.21,2133.21,328800
01/08/2011,2160.09,2173.28,2158.24,2172.31,2172.31,262800
02/08/2011,2152.85,2155.44,2114.75,2121.27,2121.27,350400
03/08/2011,2079.19,2080.76,2056.53,2066.26,2066.26,434400
04/08/2011,2067.17,2071.03,2015.23,2018.47,2018.47,356400
05/08/2011,1937.17,1966.73,1920.67,1943.75,1943.75,481000
08/08/2011,1916.57,1939.92,1800,1869.45,1869.45,571200
09/08/2011,1807.88,1828.63,1684.68,1801.35,1801.35,685000
10/08/2011,1877.4,1877.4,1802.29,1806.24,1806.24,486400
11/08/2011,1733.92,1832.48,1733.92,1817.44,1817.44,438800
12/08/2011,1844.13,1847.12,1788.97,1793.31,1793.31,468800
16/08/2011,1850.53,1879.87,1848.82,1879.87,1879.87,423400
17/08/2011,1868.85,1906.61,1868.6,1892.67,1892.67,431000
18/08/2011,1891.82,1894.94,1833.34,1860.58,1860.58,503400
19/08/2011,1789.78,1797.18,1744.86,1744.88,1744.88,503800
22/08/2011,1756.59,1763.64,1704.54,1710.7,1710.7,420200
23/08/2011,1735.23,1781.92,1719.97,1776.68,1776.68,428400
24/08/2011,1788.39,1799.11,1744.07,1754.78,1754.78,412600
25/08/2011,1791.08,1803.77,1762.79,1764.58,1764.58,398200
26/08/2011,1754.39,1782.9,1754.39,1778.95,1778.95,311000
29/08/2011,1807.6,1836.66,1787.29,1829.5,1829.5,339000
30/08/2011,1853.77,1863.51,1835.65,1843.82,1843.82,493200
31/08/2011,1846.89,1880.11,1837.82,1880.11,1880.11,410400
01/09/2011,1887.21,1928.4,1877.4,1880.7,1880.7,500400
02/09/2011,1872.62,1890.86,1853.7,1867.75,1867.75,442600
05/09/2011,1829.3,1829.75,1785.82,1785.83,1785.83,414000
06/09/2011,1752.98,1790.47,1744.03,1766.71,1766.71,505400
07/09/2011,1811.6,1833.54,1798.79,1833.46,1833.46,417800
08/09/2011,1858.05,1858.05,1826.44,1846.64,1846.64,416600
09/09/2011,1817.1,1847.05,1812.9,1812.93,1812.93,332000
14/09/2011,1804.09,1807.47,1743.78,1749.16,1749.16,339600
15/09/2011,1797.18,1806.63,1742.91,1774.08,1774.08,392200
16/09/2011,1819.45,1844.52,1807.62,1840.1,1840.1,430000
19/09/2011,1818.9,1839.82,1813.1,1820.94,1820.94,335600
20/09/2011,1819.84,1840.73,1793.75,1837.97,1837.97,321200
21/09/2011,1842.17,1869.77,1831.95,1854.28,1854.28,297600
22/09/2011,1807.24,1819.81,1785.69,1800.55,1800.55,295400
23/09/2011,1736.38,1743.49,1697.39,1697.44,1697.44,411800
26/09/2011,1720.5,1721.03,1644.11,1652.71,1652.71,424200
27/09/2011,1704.25,1735.71,1695.05,1735.71,1735.71,339800
28/09/2011,1751.04,1762.67,1723.08,1723.09,1723.09,344400
29/09/2011,1713.1,1769.75,1706.9,1769.29,1769.29,374000
30/09/2011,1759.52,1774.29,1742.89,1769.65,1769.65,354200
04/10/2011,1683.94,1706.45,1658.06,1706.19,1706.19,301600
05/10/2011,1718.52,1718.52,1659.31,1666.52,1666.52,336200
06/10/2011,1714.84,1733.7,1707.77,1710.32,1710.32,352600
07/10/2011,1751.55,1765.43,1747.42,1759.77,1759.77,334800
11/10/2011,1810.36,1811.14,1792.78,1795.02,1795.02,4.00E+05
12/10/2011,1789.65,1810.51,1778.97,1809.5,1809.5,355400
13/10/2011,1831.95,1837.49,1823.1,1823.1,1823.1,431600
14/10/2011,1816.19,1839.19,1803.42,1835.4,1835.4,349000
17/10/2011,1855.72,1865.18,1845.43,1865.18,1865.18,367800
18/10/2011,1826.44,1845.18,1822.91,1838.9,1838.9,323400
19/10/2011,1851.84,1855.93,1834.38,1855.92,1855.92,340000
20/10/2011,1857.46,1870.5,1804.11,1805.09,1805.09,349200
21/10/2011,1831.89,1843.51,1809.42,1838.38,1838.38,355200
24/10/2011,1858.26,1898.32,1858.23,1898.32,1898.32,374000
25/10/2011,1900.99,1905.78,1883.68,1888.65,1888.65,354800
26/10/2011,1871.69,1896.02,1864.99,1894.31,1894.31,384800
27/10/2011,1906.16,1923.98,1891.23,1922.04,1922.04,418200
28/10/2011,1961.09,1963.74,1920.81,1929.48,1929.48,508800
31/10/2011,1922.31,1941.32,1902.04,1909.03,1909.03,393800
01/11/2011,1891.22,1925.08,1891.22,1909.63,1909.63,353600
02/11/2011,1870.51,1899.35,1859.83,1898.01,1898.01,389600
03/11/2011,1895.14,1895.14,1863.57,1869.96,1869.96,436400
04/11/2011,1911.56,1929.01,1906.33,1928.41,1928.41,466600
07/11/2011,1932.95,1932.95,1915.38,1919.1,1919.1,349600
08/11/2011,1927.89,1928.07,1900.09,1903.14,1903.14,403200
09/11/2011,1925.86,1929.65,1897.47,1907.53,1907.53,434600
10/11/2011,1860.96,1862.27,1813.25,1813.25,1813.25,402000
11/11/2011,1840.98,1863.46,1823.87,1863.45,1863.45,297000
14/11/2011,1889.33,1907.62,1889.33,1902.81,1902.81,327200
15/11/2011,1888.67,1900.58,1878.42,1886.12,1886.12,361400
16/11/2011,1898.14,1911.33,1853.13,1856.07,1856.07,407800
17/11/2011,1862.87,1876.88,1835.73,1876.67,1876.67,353200
18/11/2011,1839.63,1850.04,1832.17,1839.17,1839.17,337000
21/11/2011,1833.9,1833.9,1811.69,1820.03,1820.03,299800
22/11/2011,1798.41,1830.84,1797.93,1826.28,1826.28,271200
23/11/2011,1820.86,1820.86,1780.24,1783.1,1783.1,411200
24/11/2011,1775.82,1800.01,1769.43,1795.06,1795.06,280400
25/11/2011,1780.06,1790.81,1766.73,1776.4,1776.4,306400
28/11/2011,1804.8,1816.65,1795.39,1815.28,1815.28,277600
29/11/2011,1828.3,1856.76,1823.93,1856.52,1856.52,329600
30/11/2011,1847.17,1858.1,1838.7,1847.51,1847.51,334600
01/12/2011,1911.5,1926.33,1908.33,1916.18,1916.18,500400
02/12/2011,1914.41,1920.64,1905.69,1916.04,1916.04,389400
05/12/2011,1928.46,1929.18,1911.61,1922.9,1922.9,330200
06/12/2011,1914.49,1920.7,1892.01,1902.82,1902.82,383400
07/12/2011,1914.5,1921.52,1904.52,1919.42,1919.42,402800
08/12/2011,1911.07,1925.56,1898.34,1912.39,1912.39,427000
09/12/2011,1883.86,1894.59,1872.67,1874.75,1874.75,372800
12/12/2011,1902.75,1903.19,1890.18,1899.76,1899.76,409600
13/12/2011,1877.4,1880.4,1863.77,1864.06,1864.06,450000
14/12/2011,1852.2,1864.79,1851.89,1857.75,1857.75,402000
15/12/2011,1834.82,1840.94,1817.61,1819.11,1819.11,409600
16/12/2011,1827.83,1842.94,1823.68,1839.96,1839.96,490000
19/12/2011,1829.49,1829.49,1750.6,1776.93,1776.93,684400
20/12/2011,1791.62,1797.59,1780.1,1793.06,1793.06,389800
21/12/2011,1837.99,1850.67,1831.26,1848.41,1848.41,517000
22/12/2011,1841.23,1847.49,1835.91,1847.49,1847.49,406400
23/12/2011,1861.07,1872.31,1859.4,1867.22,1867.22,466400
26/12/2011,1873.07,1873.79,1851.99,1856.7,1856.7,434800
27/12/2011,1856.78,1864.71,1813.48,1842.02,1842.02,530000
28/12/2011,1833.26,1833.26,1817.97,1825.12,1825.12,378600
29/12/2011,1815.63,1835.19,1806.88,1825.74,1825.74,344600
02/01/2012,1831.69,1837.81,1814.55,1826.37,1826.37,323400
03/01/2012,1846.56,1875.41,1846.56,1875.41,1875.41,443400
04/01/2012,1883.48,1884.69,1866.22,1866.22,1866.22,494600
05/01/2012,1869.42,1875.97,1860.57,1863.74,1863.74,533800
06/01/2012,1867.12,1867.12,1824.29,1843.14,1843.14,472600
09/01/2012,1832.04,1832.04,1810.48,1826.49,1826.49,395600
10/01/2012,1841.13,1859.55,1840.47,1853.22,1853.22,388600
11/01/2012,1857.54,1857.82,1843.12,1845.55,1845.55,448000
12/01/2012,1853.1,1864.57,1837.96,1864.57,1864.57,476400
13/01/2012,1865.72,1881.84,1861.53,1875.68,1875.68,475000
16/01/2012,1860.77,1863.32,1843.86,1859.27,1859.27,392000
17/01/2012,1878.16,1892.76,1878.16,1892.74,1892.74,432000
18/01/2012,1891.17,1898.7,1884.33,1892.39,1892.39,428000
19/01/2012,1912.43,1914.98,1902.02,1914.97,1914.97,374400
20/01/2012,1922.13,1952.09,1922.13,1949.89,1949.89,404800
25/01/2012,1947.74,1973.35,1945.14,1952.23,1952.23,376000
26/01/2012,1959.19,1962.71,1949.51,1957.18,1957.18,408000
